Ano_1998,Ano_1999,Ano_2000,Ano_2001,Ano_2002,Ano_2003,Ano_2004,Ano_2005,Ano_2006,Ano_2007,Ano_2008,Ano_2009,Ano_2010,Ano_2011,Ano_2012,Ano_2013,Ano_2014,Ano_2015,Ano_2016,Ano_2017,Ano_2018,Ano_2019
4.28,6.54,9.61,11.7,10.9,12.8,14.2,10.4,11.9,20,13.6,17.1,14.8,33.3,19.6,17.7,25.6,18.7,22.4,-96.1,-5.31,223.6
7.39,9.46,10.6,12.1,9.44,8.46,12,11.8,16.7,31.3,42.5,37.4,45,27.4,29.8,29.1,27.3,20.4,69.5,148.7,191.4,179.3
11.5,23.2,16.3,12.5,26.9,34,32.9,-36,9.29,-3.6,8.24,-35.7,-1.62,-25.7,-54.8,-7.52,-69.9,-58.8,-37.8,-41.5,-113.6,-249.3
7.54,5.83,6.64,4.69,3.13,1.91,2.05,-38.6,1.8,0.777,1.28,6.13,9.04,8.17,2.74,10.8,33.2,45.2,44.7,80.3,42.8,28
-20,-13.9,-3.79,-7.03,-15.5,-1.38,-10.3,-2.32,-0.685,-3.67,-1.79,40.6,5.85,3.37,-13.6,0.112,5.31,-6.52,-9.98,2.71,2.47,0.341
11.1,11.4,6.81,3.26,5.36,4.93,15.1,20.8,27.8,27.5,44.7,14,19.2,11.1,62,26,-33.1,-103,71,282.2,219.9,-2.73
51.5,58.9,35.1,31.8,46.6,44.9,45.7,46.2,48.4,86.4,85.1,129.9,166,137.2,121.8,119.7,115,145.2,152.2,165.2,158.1,161.3
7.27,8.57,8.73,10.2,10.9,9.44,8.61,5.41,-15.8,-65.6,5.38,-0.042,0.14,53.9,63.5,76.8,77,57.5,85.7,162.8,65.1,57.9
2414.8,1668.3,1908.5,1669.6,877.2,310.5,984.4,682.4,799.7,1192.9,4318.7,401.9,3093.1,3311.9,-3620.4,-1934.2,1695.6,-408.9,7360.2,2670.3,4585.1,2015.5
-48.5,7.25,4.49,-55.1,-121.8,74.3,77.6,109.5,107,224.4,184.8,93.6,215.5,250,-158.6,142.5,298.7,-5.53,-12.5,46.4,73.3,103.6
841.8,16.1,-329.4,-511.5,-964.7,384.4,52.4,-39.8,-53.4,439.4,-227,590.7,331.6,280.7,358.5,68.7,1222.3,22.9,263,-20.2,45.2,17.4
27.9,9.99,2.58,1.03,-20.9,-0.367,0.46,1.24,-36.2,7.79,-46.9,-7.39,-16,-45.2,-32,-35.2,-19.3,-27.4,-40.2,9.19,11.4,13.4
5.27,6.04,8.05,7.42,3.81,2.83,4.5,7.71,10.7,10,14.4,29.1,47.7,53,55.1,25.8,12.6,39.2,50.5,60.3,46.1,8.02
