,Marca,Modelo,Linha,Sim,Tizen,Amazon Prime Video,Globoplay,Netflix,Youtube,Acesso à Internet,Assistente Pessoal,Controle com Comando de Voz,Grava Programação,HDR,Conversor Digital Integrado e Interativo (DTVi),LED,Tamanho da Tela,4K,Frequência Nativa,Bluetooth,Tecnologia DLNA,Wi-Fi integrado,Espelhamento de Tela,HDMI,LAN (Rede),USB,3 HDMI,Altura com base,Altura sem base,Largura,Profundidade com base,Profundidade sem base,price (avg),price (med),WebOS,Conversor Digital Integrado,Facebook,OLED,Design da Tela,4 HDMI,Android,Controle por Smartphone,Controle com Função Mouse,Função Estádio,Nano Cristal,IPS (In Plane Switching),2 HDMI,Picture in Picture(PiP),QLED,Frequência Máxima,ConnectShare,Slim,Saphi,Disney Plus,Tela Plana,Neo QLED,Roku,Sistema Operacional,One Connect,PC,VA (Vertically Aligned),Suporte para Controle por Movimento,HDMI 2.1,HDMI 2.0,Ultra Slim,Linux,Cartão de Memória,Vidaa,Fone de Ouvido P2,NFC,Full HD,HD,Suporte para Wi-Fi,8K,LCD,Super Slim,Spotify,Potência (RMS),Smart TV
202,TCL,40S615,Android TV,True,False,True,True,True,True,True,True,True,False,True,False,True,40.0,False,60.0,True,False,True,False,True,True,True,False,False,52.0,90.2,False,7.6,2073.275833333333,1889.03,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
203,Semp,43S5300,False,True,False,False,True,True,True,True,False,False,False,True,True,True,43.0,False,60.0,True,True,True,False,True,True,True,False,62.2,56.8,97.0,18.4,7.7,2360.9875,2178.33,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
204,Panasonic,TC-32FS500B,False,True,False,False,False,True,True,True,False,False,False,False,True,True,32.0,False,60.0,False,False,True,False,True,True,True,False,47.9,43.2,73.2,17.5,8.0,1627.4925,1522.1799999999998,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
205,Britânia,BTV39G60N5CH,False,True,False,True,True,True,True,True,False,False,False,False,False,True,39.0,False,60.0,False,False,True,True,True,False,True,False,False,False,88.5,False,False,1709.7708333333333,1603.9,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
206,Philips,32PHG6825/78,False,True,False,False,False,True,True,True,False,False,False,True,False,True,32.0,False,60.0,False,False,True,True,True,False,True,True,48.62,42.57,72.0,17.74,False,1485.9941666666666,1434.23,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
207,Philco,PTV39G65N5CH,False,True,False,True,True,True,True,True,False,False,False,False,True,True,39.0,False,60.0,False,False,True,False,True,True,True,False,51.6,False,88.5,22.8,False,1885.7666666666667,1723.115,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
208,LG,65NANO75SPA,ThinQ AI,True,False,True,False,True,False,True,True,True,False,True,False,False,65.0,True,60.0,True,False,True,True,True,False,True,True,90.0,83.8,145.4,27.1,5.84,4993.769666666667,4654.52,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
209,LG,43LM6300PSB,ThinQ AI,True,False,True,False,True,True,True,True,False,False,True,True,True,43.0,False,60.0,True,False,True,True,True,True,True,True,62.5,57.2,97.3,21.8,8.5,2500.0425,2519.25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
210,Philco,PTV32D10N5SKH,False,True,False,True,True,True,True,True,False,False,False,False,False,True,32.0,False,60.0,False,False,True,True,True,True,True,False,False,False,77.0,False,False,1508.5125,1399.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
211,Britânia,BTV42G70N5CF,False,True,False,True,True,True,True,True,False,False,False,False,False,True,42.0,False,60.0,False,False,True,True,True,False,True,True,False,False,95.5,False,False,1876.42,1879.455,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
